"English","Deutsch";
"Japan","Japan";
"South America","Südamerika";
"Favorite","Favorit";
"Join","Beitreten";
"Refresh","Aktualisieren";
"Colony Defense Lobby","Kolonie-Verteidigungs-Lobby.";
"<color=#00FFFF><size=24>U.N.E. Team Ziele</size></color>

<color=#FFFFFF>Verteidigen Sie Ihre Siedlung, bis der Timer abgelaufen ist. Wenn am Ende des Spiels alle Ihre Gebäude noch stehen, haben Sie gewonnen!</color>

<color=#B4B4B4>Tipp: Gewinnen Sie früh, indem Sie alle aufblasbaren Kuppeln der Fremden zerstörst.</color>


<color=#00FFFF><size=24>Fremde Team Ziel:</size></color>

<color=#FFFFFF>Greifen Sie die U.N.E.-Siedlung an! Wenn Sie eine der ursprünglichen Siedlungsstrukturen zerstören, ist das automatisch ein Sieg!</color>

<color=#B4B4B4>Tip: Benutzen Sie die Pfeilkanone, um große Kreaturen zu betäuben und sie in den Kampf zu reiten.</color>","<color = # 00FFF> <siehe Größe = 24> U.N.E. Team-Ziele </ size> </ color>

<color = # FFFFFF> Verteidigen Sie Ihre Siedlung, bis der Timer ausgeführt wird. Wenn am Ende des Spiels, wenn alle Ihre Strukturen noch stehen, gewinnen Sie! </ Color>

<color = # B4B4B4> TIPP: Gewinnen Sie frühzeitig, indem Sie alle aufblasbaren Kuppeln der Fremden zerstören </ color>


<color = # 00FFFF> <siehe Größe = 24> FRemde Team-Ziel: </ size> </ color>

<color = # ffffff> Greifen Sie die U.N.E.-Siedlung an! Wenn Sie eine der ursprünglichen Siedlungsstrukturen zerstören, ist das automatisch ein Sieg! </ Color>

<color = # B4B4B4> Tip: Benutzen Sie die Pfeilkanone, um große Kreaturen zu betäuben und sie in den Kampf zu reiten. </ color>";
"Ready","Bereit";
"Leave","Verlassen";
"UNIVERSE","UNIVERSUM";
"Creator","Ersteller";
"RULES","REGELN";
"Players in world","Spieler in der Welt.";
"Players in universe","Spieler im Universum.";
"Players with Access","Spieler mit Zugang.";
"No Private Universes to Join.
Create a New Universe and Invite Your Friends To Join!","Keine privaten Universen vorhanden, um sich anzuschließen.
Erstellen Sie ein neues Universum und laden Sie Ihre Freunde ein, sich Ihnen anzuschließen!";
"View","Ansicht";
"Customize Universe","Universum anpassen";
"Universe Name:","Universums-Name:";
"Enter universe name...","Geben Sie den Namen des Universums ein...";
"Mode:","Modus:";
"Region:","Region:";
"Difficulty:","Schwierigkeit:";
"Normal","Normal";
"The way the game was meant to be played. Battle the elements, search for resources, and monitor your suit readings to stay alive in the harsh climates of space.","So, wie das Spiel eigentlich gespielt werden sollte. Kämpfen Sie gegen die Elemente, suchen Sie nach Ressourcen und überwachen Sie die Werte Ihres Anzugs, um im rauen Klima des Weltraums am Leben zu bleiben.";
"Easy","Einfach";
"A lighter Osiris: New Dawn experience. You will still need to survive, but the experience is more forgiving. Better for explorers who want less to worry about. ","Ein leichteres Osiris: New Dawn-Erlebnis. Sie müssen immer noch überleben, aber die Erfahrung ist nachsichtiger. Besser für Entdecker, die sich weniger Sorgen machen wollen. ";
"Extreme","Extrem";
"Test your survival skill to its limit. Your success is not assured. ","Testen Sie Ihre Überlebensfähigkeiten bis zum Äußersten. Ihr Erfolg ist nicht garantiert. ";
"Creative","Kreativ";
"Craft anything you'd like without the worry of creatures  or survival gameplay.","Handwerk alles, was Sie ohne Sorgen von Kreaturen oder Survival Gameplay möchten.";
"Custom","Benutzerdefiniert";
"Make your Osiris experience perfect for you!","Machen Sie Ihr Osiris-Erlebnis perfekt für Sie!";
"Delete","Löschen";
"Invite
Players","Einladen
Spieler";
"Update","Aktualisieren";
"Advanced Customization","Erweiterte Anpassung.";
"Player","Spieler";
"Proficiency","Kenntnisse";
"Stat Points Per Level","Stat-Punkte pro Level";
"Thirst","Durst";
"Hunger","Hunger";
"Oxygen
Consumption","Sauerstoff
Verbrauch";
"Stamina
Consumption","Ausdauer
Verbrauch";
"Flashlight Power Drain (WIP)","Taschenlampe Power Drain (WIP)";
"Fall
Damage","Fall-
Schaden";
"Crash 
Items","Absturz
Artikel";
"Stamina Penalty Duration","Ausdauer-Strafdauer.";
"No Stamina Speed","Keine Ausdauergeschwindigkeit";
"Hover Fuel
Consumption","Hover Kraftstoff-
verbrauch";
"Hover 
Duration","Schweben
Dauer";
"Vehicle Fuel
Consumption","Fahrzeugbrennstoff.
Verbrauch";
"Tool/Weapon 
Decay Rate","Werkzeug / Waffe
Zerfallsrate";
"Structure Decay Speed","Struktur Zerfallgeschwindigkeit.";
"Inventory Weight","Inventargewicht.";
"Item Stack Size","Artikel-Stapel-Größe.";
"Encumberance Penalty","Belastung der Strafe";
"Creative Mode
(Infinite Resources and Unlocks)","Kreativmodus
(Unendliche Ressourcen und Entsperren)";
"Invulnerability","Unverwundbarkeit";
"First Person Hit Reaction","Erste Person traf Reaktion";
"Pickup Animation","Pickup-Animation";
"Auto-Pickup Bonus Resources","Auto-Pickup-Bonusressourcen";
"Planets","Planeten";
"Resource Yield","Ressourcenrendite";
"Mineral Respawn Rate","Mineralreaktionsrate.";
"Alien
Population","Außerirdischer
Population";
"Alien
Damage","Außerirdische
Beschädigung";
"Alien
Health","Außerirdische
Gesundheit";
"Alien
Hearing","Außerirdische
Anhörung";
"Alien
Sight","Außerirdischer
Sicht";
"Alien Suit Breach Chance","Außerirdischer Anzugsverletzung Chance";
"Plant Suit Breach Chance","Pflanzenanzug-Bruch-Chance";
"Slope Slip Modifier","Slope Slip-Modifikator";
"Slope Damage Chance","Hangschaden-Chance";
"Slope Breach Chance","Hang-Verbreitung Chance.";
"Weather Cycle Rate","Wetterzyklusrate.";
"Time Cycle Rate","Zeit Zyklus Rate";
"Storm Damage Chance","Sturmschäden Chance";
"Storm Damage Amount","Sturmschäden Betrag";
"Storm Suit Breach Chance","Chance des Sturmanzugs-Verletzung";
"Storm Spawn Chance","Sturm-Laich-Chance.";
"Storm Length","Sturmlänge";
"Respawn HP","Respawn HP.";
"Permadeath (WIP)","Permadeath (WIP)";
"Drop Inventory On Death","Inventar bei Tod fallen lassen";
"Require Pressurization to Eat","Beherrschen Sie die Druckbeaufschlagung, um zu essen";
"Allow Space Travel","Raumfahrt zulassen";
"Invite Friends","Freunde einladen";
"You can invite up to 5 friends into your own private universe.","Sie können bis zu 5 Freunde in Ihr eigenes privates Universum einladen.";
"Friends","Freundin";
"+ Send Invite","+ Einladung senden.";
"Invited Players","Eingeladene Spieler";
"Uninvite Player","Univite-Spieler.";
"What's New","Was gibt's Neues";
"Space Station Crafting","Raumstation Handwerk";
"Fully crafting your own Space Station in low orbit. All station modules can interconnect in any combination, allowing for total flexibility in design and layout.

Each module has its own purpose and features, including crafting, power systems, and storage.

Space Stations are free from the erosion and dangers of the existing planetside in an atmosphere, creating an interesting strategic option to store valuable resources.
","Vollständigen Sie Ihre eigene Raumstation in niedriger Umlaufbahn. Alle Stationsmodule können in beliebiger Kombination miteinander verbunden werden, sodass die vollständige Flexibilität in Design und Layout ermöglicht wird.

Jedes Modul hat seinen eigenen Zweck und seinen eigenen Merkmalen, einschließlich Handwerks-, Stromsystemen und Lagerung.

Weltraumstationen sind frei von Erosion und Gefahren der bestehenden Planetside in einer Atmosphäre, wodurch eine interessante strategische Option zum Speichern wertvoller Ressourcen erstellt werden.
";
"Next","Weiter";
"* Just a few of the many modules you can create in Space Station crafting.","* Nur ein paar der vielen Module, die Sie in der Weltraumstation erstellen können.";
"Nio Biomes","Nio biomes.";
"Proteus 2 takes advantage of the new technology we’ve been developing that adds various zones and areas into a world.

We’ve doubled the amount of world textures, rendered millions of blades of grass, and populated countless new alien foliages - each yielding various resources.
","Proteus 2 nutzt die neue Technologie, die wir entwickelt haben, die verschiedene Zonen und Gebiete in eine Welt hinzufügen.

Wir haben die Menge der Weltstruktur verdoppelt, Millionen von Grasklingen gerendert und unzählige neue Alien-Folwies bevölkert - jeweils verschiedene Ressourcen.
";
"Previous","Bisherige";
"* Crouching now allows safe traversal on steep terrains. When climbing steep slopes, a warning indicator will appear.","* Hocking nun ermöglicht jetzt sicheres Traversal auf steilen Gelände. Bei der Kletterung steile Hänge erscheint eine Warnanzeige.";
"Discovery System
","Entdeckungssystem
";
"Everything you observe on your adventures can now be discovered. Far more than a simple achievement, the Discovery System actually unlocks all the various resources any found resource will yield.

Essentially, each weapon or tool used on a resource may yield a different item, allowing for far more scientific exploration of the solar system and all of its life forms.
","Alles, was Sie auf Ihren Abenteuern beobachten, können jetzt entdeckt werden. Viel mehr als eine einfache Leistung, das Entdeckungssystem entsperrt tatsächlich alle verschiedenen Ressourcen, die auf der gefundenen Ressource ergibt.

Im Wesentlichen kann jede Waffe oder ein Werkzeug, das auf einer Ressource verwendet wird, einen anderen Artikel ergeben, wodurch die weltweit wissenschaftlichere Erkundung des Sonnensystems und aller seiner Lebensformen ermöglicht wird.
";
"* Geysers now display the gas type, along with instructions on how to harvest the gas.","* Geysiser zeigt nun den Gastyp zusammen mit Anweisungen zum Ernten des Gases.";
"GPS Resource Filtering","GPS-Ressourcenfilterung.";
"Minerals can now be filtered on your updated GPS. This very handy tool, which is now always available in your HUD and no longer attached to your Locator, reads from your surrounding satellites and your own internal suit radar to create detection radii.

This system will show you all the surrounding minerals, their hardness and density, so you can find what you’re looking for in your crafting missions.
","Mineralien können jetzt auf Ihrem aktualisierten GPS gefiltert werden. Dieses sehr praktische Tool, das jetzt immer in Ihrem HUD verfügbar ist und nicht mehr an Ihrem Locator angehängt ist, liest sich von Ihren umliegenden Satelliten und Ihrem eigenen internen Anzugradar, um Erkennungsradien zu erstellen.

Dieses System zeigt Ihnen alle umgebenden Mineralien, deren Härte und Dichte, sodass Sie finden, wonach Sie in Ihren Handwerksmissionen suchen.
";
"* Satellite Dishes now display a radius for their scanning range.","* Satellitenschüsseln zeigen jetzt einen Radius für ihren Scanbereich an.";
"New Skill Tree","Neue Skill Tree.";
"Replacing the old skill tree, is, uh, the new skill tree! Instead of grindy gates, you now can unlock actual skills or “perks” that boost your abilities.

","Ersetzen des alten Skill-Baums, ist äh, der neue Skill-Baum! Anstelle von Greiften können Sie jetzt tatsächliche Fähigkeiten oder "Vorteile" entsperren, die Ihre Fähigkeiten steigern.

";
"Got it. Let's Go!","Ich habs. Lass uns gehen!";
"* Looting now fully functions on all creatures.","* Die Plünderung funktioniert jetzt voll auf allen Kreaturen.";
"Removal of Build Gates
","Entfernung von Build Gates
";
"The build gates are gone, which we felt was arbitrary and grindy. Instead are structure prerequisites which we feel make more sense and are more meaningful.","Die Build Gates sind weg, was wir fühlten, willkürlich und reisen. Stattdessen sind Strukturvoraussetzungen, die wir fühlen, und sind sinnvoller und sind sinnvoller.";
"Login","Anmeldung";
"Password","Passwort";
"Remember me on this device","Erinnere dich an mich auf diesem Gerät";
"Sign In","Einloggen";
"Go Offline","Gehe offline";
"Sign Up","Anmeldung";
"The user information you entered could not be found","Die von Ihnen eingegebenen Benutzerinformationen konnten nicht gefunden werden";
"Confirm Password","Kennwort bestätigen";
"Graphics Settings","Grafikeinstellungen";
"Graphics Quality","Grafikqualität";
"Terrain Detail
","Terrain-Detail
";
"Draw Distance","Sichtweite";
"Shadows","Schatten";
"Scion Film Grain","Scion Filmkörnung";
"Scion Mode","Scion-Modus";
"Scion LUT","Scion LUT.";
"Beautify","Verschönern";
"Dirty Lense","Verschmutzte Linse";
"Ambient Occlusion","Umgebungsakklusion.";
"Depth Of Field","Tiefenschärfe";
"Motion Blur","Bewegungsunschärfe";
"Anti Aliasing","Kantenglättung";
"Volumetric Clouds","Volumetrische Wolken";
"Debug Text","Debugtext";
"Camera And Sound","Kamera und Ton";
"First Person Field of View","Erstperson Sichtfeld";
"First Person Sprint Field of View","Erstperson Sprint-Sichtfeld";
"First Person Camera Bob","Erste Person Kamera Bob";
"Third Person Camera Bob","Dritte Person Camera Bob";
"Glitch FX","Glitch FX";
"Mouse Sensitivity Horizontal","Mausempfindlichkeit Horizontal";
"Mouse Sensitivity Vertical","Mausempfindlichkeit Vertikal";
"Mouse Smooth Step","Maus glatter Schritt";
"Mouse Smooth Weight","Maus glattes Gewicht.";
"Invert Y","Invertieren Y";
"Master Volume","Hauptlautstärke";
"Music Volume","Musiklautstärke";
"SFX Volume","SFX Lautstärke";
"Voice Volume","Stimmen Lautstärke";
"Banter VO","Banter VO";
"Cancel","Abbruch";
"Preview","Vorschau";
"Save And Continue","Speichern & Weiter";
"Key Bindings","Tasturbelegungen";
"Open Key Bindings","Offene Tastenbelegung";
"Done","Fertig";
"Restore Defaults","Standardeinstellungen wiederherstellen";
"Players:","Spieler:";
"Controller:","Controller:";
"None","Keiner";
"Remove","Entfernen";
"Calibrate","Kalibrieren";
"Assign Controller","Controller zuweisen";
"Assigned Controllers:","Zugewiesene Steuerungen:";
"Settings:","Einstellungen:";
"Categories:","Kategorien:";
"Fullscreen","Vollbild";
"Custom Resolution","Angepasste Auflösung";
"Resolution","Auflösung";
"Width","Breite";
"Enter text...","Text eingeben...";
"Bloom","Bloom";
"Film Grain","Filmkörnung";
"First Person Helmet","First Person Helm";
"North Facing Map","Nordausrichtung Karte";
"Erase Experimental Save Data","Experimentelle Daten speichern";
"HINT: Unequip gun to run faster_","Hinweis: entferne die Waffe, um schneller zu laufen ";
"Incoming Data","Eingehende Daten";
"Planet Data","Planetendaten";
"Loading Persistent Nature","Anhaltende Natur laden";
"MULTIPLAYER","MULTIPLAYER";
"PLANET","PLANET";
"STRUCTURES","STRUKTUREN";
"MACHINES","MASCHINEN";
"Osiris: New Dawn is still in Early Access. Please expect bugs. When you find something weird help us by reporting the issue on the Steam Forums. Thank you and let's make Osiris: New Dawn great together!","Osiris: Neue Morgendämmerung ist noch in frühen Zugang. Bitte erwarten Sie Fehler. Wenn Sie etwas finden, helfen Sie uns, indem Sie das Problem in den Dampfforen melden. Vielen Dank und lasst uns Osiris machen: Neue Morgendämmerung großartig zusammen!";
"Signing in","Einloggen";
"Are you sure you want to quit the application?","Wollen Sie die Anwendung wirklich beenden?";
"No","Nein";
"Yes","Ja";
"Confirmation Code","Bestätigungscode";
"There was an issue connecting to the network.","Es gab ein Problem, das sich mit dem Netzwerk verbindet.";
"Quit","Beenden";
"Retry","Wiederholen";
"HINT: Unequip gun to run faster","Hinweis: Unequip-Waffe, um schneller zu laufen";
"Player Name","Spielername";
"Loading Avatar","Avatar laden.";
"Habitat","Lebensraum";
"A Habitat is a multi-purpose room that can house many interior items.","Ein Lebensraum ist ein Mehrzweckraum, der viele Inneneinrichtungen beherbergen kann.";
"Add to Backpack","Zum Rucksack hinzufügen";
"Equip","Ausrüsten";
"Store in Inventory","Im Inventar speichern";
"Drink","Trinken";
"Empty out","Entleeren";
"Drop","Fallenlassen";
"Customize Colors","Farben anpassen";
"Primary","Primär";
"LAT","LAT";
"LONG","LANG";
"Missions","Missionen";
"CRITICAL BREACH","KRITISCHE VERLETZUNG";
"Oxygen Low","Sauerstoff niedrig";
"Local Time","Ortszeit";
"You Are Dehydrated
You are Starving","Sie sind dehydriert
Sie verhungern";
"Suit Pressue Low","Anzug-Druck niedrig.";
"You Are FREEZING","Du bist am ERFRIEREN";
"Agility","Beweglichkeit";
"Fortitude","Kraft";
"HOV","HOV";
"HLTH","HLTH";
"Weight:","Gewicht:";
"Inventory","Inventar";
"Field Guide","Feldführer";
"Skills","Fertigkeiten";
"Build / Craft [F3]","Bauen / Fertigen [F3]";
"Data Selection
Matrix","Datenwahl
Matrix";
"Env Pressure:","Env-Druck:";
"Env Temp:","Env Temp:";
"Personal Data Unit","Persönliche Dateneinheit";
"Osiris Mission Team","Osiris Mission Team.";
"Systems Data Selection","Systemdatenauswahl";
"Build 248.517.68200","Build 248.517.68200.";
"Exit Data Matrix [Tab]","Datenmatrix beenden [Tab]";
"Log","Log";
"[F4] - Map Settings
[M] - Center Toggle","[F4] - Karteneinstellungen
[M] - Center-Toggle";
"Zoom Out [-]
Zoom In [+]","Rauszoomen [-]
Hineinzoomen [+]";
"Map Name","Kartenname";
"Bot","Bot";
"House","Haus";
"Focus Area","Fokusbereich";
"Health Area","Gesundheitsbereich";
"Scanning","Scannen";
"Spawn Location","Spawn-Standort.";
"Equip Map To Cycle Targets","MAP ausüben, um Ziele zu radeln";
"Aluminum","Aluminium";
"Iron","Eisen";
"Nearest Dish
Scanning...","Nächste Speise
Scannen ...";
"Hold [RMB] and Mouse Scroll to Zoom","Halten Sie [RMB] und Mausblätter zum Zoomen";
"© 2017 Fenix Fire Entertainment","© 2017 Fenix ​​Fire Entertainment";
"Com Link
","Com link.
";
"Mission List","Missionsliste";
"Warning System
","Warnsystem
";
"o2 / Air Pressure
Internal Temp","O2 / Luftdruck
Interner Temp.";
"Hydration / Gestation
Respiratory Vitals","Hydratation / Schwangation.
Atmungsgebiete";
"Saving Data","Daten speichern";
"Location Type","Standorttyp.";
"-[ Tool Mode ]-","- [Werkzeugmodus] -";
"Set Target","Anvisieren";
"Confirm Build","Bauen bestätigen";
"Cancel Build","Bauen stornieren";
"Rotate Right","Drehe nach rechts";
"Rotate Left","Nach links drehen";
"Hold
[Left Shift]","Halt
[Linksverschiebung]";
"Release
[Left Shift]","Veröffentlichung
[Linksverschiebung]";
"Fine Rotation","Feine Rotation";
"SHIFT","SHIFT;
"Control Panel","Schalttafel";
"[R] Return All Flank Droids","[R] Alle Flank-Drohnen zurückgeben";
"[1]","[1]";
"Droid Nickname","Drohnen Name";
"Mining Azurnium","Bergbau Azurium";
"Back [Esc]","Zurück [ESC]";
"Stay","Bleibe";
"Osiris Mission Personal Assistant","Osiris Mission Personal Assistant";
"Alien Blood","Alienblut";
"Small Metal Dome","Kleine Metallkuppel.";
"Lightweight wall that is low cost and allows pressurization, but is low on armor and temperature regulation.","Die leichte Wand, die geringe Kosten ist und die Druckbeaufschlagung ermöglicht, ist jedoch geringe Rüstungs- und Temperaturregulierung.";
"[MIDDLE MOUSE WHEEL]","[Mittelmausrad]";
"Build Structure","Baustruktur";
"Hint: Hold action button longer to build object with more health.","Hinweis: Halten Sie die Action-Taste länger, um Objekt mit mehr Gesundheit aufzubauen.";
"Hold","Halt";
"COMPLETE","VOLLSTÄNDIG";
"DISCOVERED","ENTDECKT";
"Hold Right Click","Rechtsklick gedrückt halten";
"Nickname","Spitzname";
"Conduit Bender","Conduit Bender.";
"Build Goal
","Ein Tor erstellen
";
"Avatar Name","Name des Avatars";
"Action","Aktion";
"*Colony naming not yet available","* Kolonie namens noch nicht verfügbar";
"Party","Party";
"Physical Stats","Körperliche Statistiken";
"Stat Points:","Stat-Punkte:";
"Proficiencies","Fertigkeiten";
"Combat","Kampf";
"Engineering","Ingenieurwesen";
"Science","Wissenschaft";
"Suit Readings","Anzugswerte.";
"Suit","Passen";
"

Suit","

Passen";
"Communications","Kommunikation";
"Contact Devs","Kontakt Ivs.";
"Mobility","Mobilität";
"Hover","Schweben";
"Hover Fuel","Schweber-Kraftstoff";
"Coming
Soon
","Demnächst";
"Suit System","Anzug";
"Module 1","Modul 1";
"Modules","Module";
"Light","Licht";
"Module","Modul";
"Attachment Slots","Befestigungsschlitze";
"Pants","Hose";
"Knee Pads","Knieschoner";
"ShouldPads","Schulterpolster";
"External Inventory","Externes Inventar";
"Take All","Alles nehmen";
"Default Sort","Standard-Sortierung";
"Alpha Sort","Alpha sort";
"Forge","Schmiede";
"Storage","Lager";
"Upgrades","Upgrades";
"Crafting","Herstellen";
"Fuel","Treibstoff";
"Empty","Leer";
"FUEL EMPTY","KRAFTSTOFF LEER";
"Skeliopod Meat","Skeliopod Fleisch";
"Steel","Stahl";
"Patch Tape","Patch-Band";
"Rubber","Gummi";
"Build Recipe","Rezept herstellen";
"Grilled Alien Meat","Gegrilltes Alien Fleisch";
"Fuel Input","Kraftstoffeingang";
"Any Fuel Item","Beliebiger Kraftstoff";
"Add Fuel","Tanken";
"Repair Table","Reparaturtisch";
"Repair Object","Objekt reparieren";
"Repair Amount","Reparaturbetrag";
"Repair COsts","Reparaturkosten";
"Repair","Reparatur";
"Accessing Data","Zugriff auf Daten";
"Sorting","Sortierung";
"Default","Standard";
"Alphabetical","Alphabetisch";
"Sort","Sortieren";
"Urchin Shell","Urchin-Shell";
"Part of an urchin found on land. It's dangerous to eat raw, but can be used for crafting and cooking.","Teil eines Urchins auf dem Land gefunden. Es ist gefährlich, roh zu essen, kann aber zum Handwerk und zum Kochen verwendet werden.";
"Equipment Slots","Ausrüstungsschlitze";
"Inventory
","Inventar
";
"[A] Skills","[A] Fähigkeiten";
"Crafting [D]","Herstellung [D]";
"Exit To Matrix [TAB]","Beenden Sie zur Matrix [Tab]";
"Craft","Herstellen";
"Utilities","Dienstprogramme";
"Defenses","Abwehrkräfte";
"Structures","Strukturen";
"Appliances","Haushaltsgeräte";
"Underground","Unter Tage";
"Spacecraft","Raumfahrzeug";
"Space Utilities","Weltraumdienstprogramme";
"Buildable Capacity","Bildbare Kapazität";
"Create Goal","Ziel erstellen";
"[A] Inventory","[A] Inventar";
"GPS [D]","GPS [D]";
"Compass","Kompass";
"Basic Scanning","Einfaches Scannen";
"Advanced Scanning","Fortgeschrittenes Scannen";
"Compass Target","Kompassziel";
"Target Tracking System","Ziel-Tracking-System.";
"Cycle Target","Zyklusziel";
"Resources","Ressourcen";
"Droids","Drohnen";
"Basic Scan Mineral","Basic Scan Mineral.";
"Low Density Minerals","Mineralien mit niedriger Dichte.";
"Lithium","Lithium";
"Magnesium","Magnesium";
"Sulfur","Schwefel";
"Quartz","Quarz";
"Obsidian","Obsidian";
"Lonsdaleite","Lonsdaleite.";
"Diamond","Diamant";
"Medium Density Minerals","Mineralien der mittleren Dichte.";
"Titanium","Titan";
"Zirconium","Zirkonium";
"Chromium","Chrom";
"Zinc","Zink";
"Tin","Zinn";
"High Density Minerals","Mineralien mit hoher Dichte.";
"Cobalt","Kobalt";
"Nickel","Nickel";
"Copper","Kupfer";
"Molybdenum","Molybdän";
"Silver","Silber";
"Lead","Blei";
"Ultra Dense Minerals","Ultra dichte Mineralien";
"Mercury","Merkur";
"Uranium","Uran";
"Tungsten","Wolfram";
"Gold","Gold";
"ZOOM","ZOOM";
"Resource  Scanning","Ressourcen-Scan";
"Fabricated","Hergestellt";
"Low Density","Geringe Dichte";
"Medium Density","Mittlere Dichte";
"High Density","Hohe Dichte";
"Ultra Dense","Ultra dicht";
"Droid Management","Drohnen-Management";
"All
","ALLE
";
"O.M.P.A.","O.M.P.A.";
"O.M.M.A.","O.M.M.A.";
"O.M.S.U
","O.M.S.U.
";
"Droid Type","Drohnen-Typ";
"Patrol","Patrouillieren";
"Follow","Folgen";
"Send to Position","Zu Position senden";
"Choose a Position","Wählen Sie eine Position aus";
"Resume","Fortsetzen";
"GPS","GPS";
"CRAFTING","[A] HERSTELLEN";
"MISSIONS [D]","MISSIONEN [D]";
"Logs","Logs";
"Voice Logs","Sprachprotokolle";
"Scribe","Schreiber";
"Operational Mission List","Betriebsmissionsliste";
"Mission","Mission";
"Completion","Fertigstellung";
"Completed Missions","Abgeschlossene Missionen";
"Audio Log Files","Audioprotokolldateien";
"Current File Name","Aktueller Dateiname";
"Voice Recording","Stimmaufnahme";
"Recorded By:
Record Time:
Record Date:","Aufgenommen von:
Aufnahmezeit:
Aufnahmedatum:";
"Recording List","Aufnahmeliste";
"CPU","Zentralprozessor";
"Found Voice Logs","Sprachprotokolle gefunden.";
"Blueprint","Entwurf";
"Scribe Server Log","Scribe Server-Protokoll";
"TIMESTAMP","Zeitstempel";
"Message","Botschaft";
"Personal","persönlich";
"Colony","Kolonie";
"[A] GPS","[A] GPS";
"DISCOVERIES [D]","Entdeckungen [d]";
"Plants","Pflanzen";
"Creatures","Kreaturen";
"Minerals","Mineralien";
"Locations","Standorte";
"1. Environment","1. Umwelt";
"2. Osiris EVA Suit","2. Osiris Eva-Anzug";
"3. Nutrition","3. Ernährung";
"4. Illness and Injuries","4. Krankheit und Verletzungen";
"5. Navigation","5. Navigation";
"6. Equipment","6. Ausrüstung";
"7. Communications","7. Kommunikation";
"8. Fortifications","8. Befestigungen";
"9. Vehicle Piloting","9. Fahrzeugsteuerung.";
"10. O.M.P.A. Manual","10. O.M.P.A. Handbuch";
"Overview","Überblick";
"Effects On Personnel","Effekte auf das Personal";
"Effects on Equipment","Auswirkungen auf Ausrüstung.";
"Terrain","Terrain";
"Atmosphere","Atmosphäre";
